filename,file_type,method_attempted,error_message
RSA Lycksele 2023 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Hudiksvall 2019 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Härnösand 2019 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Ale 2015 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Strömsund 2013.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Nordanstig 2015 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Norsjö 2015 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Hudiksvall 2023 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Arvidsjaur 2015 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Uppvidinge 2019 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Gnesta 2019 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Nora 2019 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Munkfors 2019 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Bjuv 2023.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Danderyd 2023 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Tanum 2023 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Vännäs 2015 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Bjurholm 2015 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Salem 2016 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Strömsund 2015.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Danderyd 2019 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Simrishamn 2019.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Södertälje 2019 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Lysekil 2019.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Vilhelmina 2019.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Kramfors 2015 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Gotland 2023 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Söderhamn 2023 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
