actor,year,doc_index,total_risk_mentions,risk_naturhot,risk_biologiska_hot,risk_olyckor,risk_antagonistiska_hot,risk_cyber_hot,risk_sociala_risker,risk_teknisk_infrastruktur,risk_brand,risk_miljö_klimat,risk_ekonomi,sannolikhet_total,sannolikhet_very_low,sannolikhet_low,sannolikhet_medium,sannolikhet_high,sannolikhet_very_high,sannolikhet_change,sannolikhet_uncertainty,sannolikhet_acceptability,sannolikhet_UNKNOWN,konsekvens_total,konsekvens_very_low,konsekvens_low,konsekvens_medium,konsekvens_high,konsekvens_very_high,konsekvens_change,konsekvens_uncertainty,konsekvens_acceptability,konsekvens_UNKNOWN,risk_total,risk_very_low,risk_low,risk_medium,risk_high,risk_very_high,risk_change,risk_uncertainty,risk_acceptability,risk_UNKNOWN
kommun,2015,0,58,12,12,3,2,0,2,16,8,3,0,3,0,0,0,0,0,0,1,0,2,6,0,0,0,0,0,0,1,0,5,12,0,0,0,1,0,0,0,0,11
kommun,2015,1,108,23,33,9,9,0,7,12,13,2,0,3,0,2,0,0,0,0,0,0,1,17,0,1,2,9,1,0,0,0,4,29,0,0,0,2,0,3,0,0,24
kommun,2015,2,487,164,54,68,67,7,5,37,53,27,5,50,2,7,3,9,5,4,2,0,18,79,1,2,1,27,4,1,3,0,40,73,4,1,2,4,4,14,1,0,43
kommun,2015,3,443,142,43,58,55,1,13,63,52,16,0,45,2,8,7,10,2,3,1,0,12,75,2,4,0,42,4,2,2,0,19,82,0,1,0,5,0,14,3,0,59
kommun,2016,4,86,31,4,9,9,0,8,11,12,2,0,1,0,1,0,0,0,0,0,0,0,9,0,0,0,5,0,0,0,0,4,62,0,0,0,5,2,0,0,0,55
kommun,2015,5,32,13,2,5,2,0,1,1,8,0,0,2,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,7,0,0,0,1,0,0,1,0,5
kommun,2019,6,6,1,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2
kommun,2015,7,180,58,24,23,29,1,12,16,16,1,0,7,1,0,1,1,0,0,1,0,3,29,0,1,1,17,2,0,1,0,7,29,0,1,0,3,0,5,0,0,20
kommun,2019,8,34,2,6,0,2,0,6,16,1,1,0,8,0,0,1,0,0,0,0,0,7,5,0,1,0,1,1,0,0,0,2,11,0,0,0,4,1,1,0,0,5
kommun,2023,9,57,6,19,5,14,2,0,6,4,1,0,8,0,0,0,0,0,0,0,0,8,13,0,0,0,1,0,0,0,0,12,23,0,0,0,1,0,2,0,0,20
