file,total_chars,preview_chars,is_truncated,preview_text
RSA Ale 2015 Maskad.pdf,31049,1000,True,"Maskad version

Risk- och
särbarhetsanalys

Ale kommun

Charlott Klug
2015-2019



Bakgrund

Målet för det svenska samhällets gemensamma säkerhet, är att skydda befolkningens liv och hälsa
samt samhällets funktionaliteter. Det inkluderar att värna om Sveriges förmåga att upprätthålla
landets grundläggande värden som demokrati, rättssäkerhet och mänskliga fri- och rättigheter.

Målet för Sveriges krisberedskap, är därför att minska risker för, och konsekvenser av, allvarliga
störningar, kriser och olyckor. Krisberedskapen ska trygga hälsan och den personliga säkerheten
för människor, samt hindra eller begränsa skador på egendom och miljö. Genom att analysera
risker och sårbarheter i all samhällsviktig verksamhet, i relation till de övergripande skyddsvärden
som utpekats av Myndigheten för samhällsskydd och beredskap, kan samhället bygga en robust
krisberedskap.

Uppgiften att genomföra en risk- och sårbarhetsanalys regleras i Lag (2006:554) om kommuner
och landstings åtgärder inför och "
RSA Ale 2019 Maskad.pdf,31067,1000,True,"Risk-och sårbarhetsanalys
Ale kommun
2019-2022
INTETrealSRS er
SEPA PASS
Diarienummer:
 


 
   
Sammanfattning
Måletfördetsvenskasamhälletsgemensamma säkerhet,ärattskyddabefolkningenslivoch hälsasamtsam-
hälletsfunktionaliteter.Det inkluderarattvärna om Sverigesförmåga attupprätthållalandetsgrundläggande
värdensom demokrati,rättssäkerhetoch mänskligafri-och rättigheter.
Målet för Sveriges krisberedskap,är därför attminska riskerför,och konsekvenserav, allvarligastörningar,kri-
seroch olyckor.Krisberedskapenska tryggahälsanoch den personligasäkerhetenförmänniskor, samt hindra
ellerbegränsa skadorpå egendom och miljö.Genom attanalyserariskeroch sårbarheteriallsamhällsviktig
verksamhet,irelationtillde övergripandeskyddsvärdensom utpekatsav Myndigheten församhällsskyddoch
beredskap,kan samhälletbygga en robustkrisberedskap.
Uppgiften attgenomföra en risk-och sårbarhetsanalysreglerasiLag (2006:554)om kommuner och landstings
åtgärderinföroch vid extraordinärahändelseri fredstidoch höjd bere"
RSA Ale 2023 Maskad.pdf,42657,1000,True,"Risk- och sårbarhetsanalys
Ale kommun 2023-2026
Västra Götalands län

Maskad version

Diarienummer: KS 2023/519

Ale kommun
SE-449 80 Alafors

Organisationsnummer Telefon E-post
212000-1439 0303-70 30 00 kommun(Male.se

Webb

www.ale.se

Ale kommun — Kommunikationsavdelningen —


Innehåll

Redovisning av risk-- och såtrbarhetsarialys$en ss..««.+ssssemsssssnssmvossssssisksssssvmssvmnkagsr 3

SAMMAaNfattNIiND ssssosereerreereerrrerrsereeerreereeesrerrrsrrsr resa res arne s Kers ARR REAR nr RAKA ARR R RK RANKAR Renan na 3

INIÖ NINE overesensesnyspsenrsnsoseneerenesener ds nanesn sanne ENN RAR Yun KN RANK MKA RN FN ERS ÅN STRASSER NERE SA 3

1 Beskrivning av kommunen och dess geografiska Område ......ssssmsmsmsssmsmsssssssssnn 4
Befolkningsstatistik fördelat per samhälle enligt SCB 2022-12-31 ss... 5
1.1 Kommunens ansvarsområde och upPglllet ss:s=s-s-msmssmussusbvaskskssvkisvdssssdsskksvndklkars 6
1.2 Kommunens organisation inkl. hel- och delägda bOlag.......sssseessessesssssss0sssersrssr"
RSA Alingsås 2011.pdf,77999,1000,True," 
  
 
 
 
 
 
Risk- och sårbarhetsanalys 
2011 
Alingsås kommun 
 
Antagen av kommunstyrelsen § 203, 2011-10-10


 
 
 

 
(1-8) MSBFS 2010:6 § 6 3 
Innehållsförteckning
INLEDNING ................................................................................................................ 6 
BAKGRUND, MÅL OCH SYFTE ............................................................................... 6 
Bakgrund ........................................................................................................ 6 
Mål och Syfte ................................................................................................. 7 
Avgränsningar ................................................................................................ 7 
ALINGSÅS KOMMUN................................................................................................ 8 
Näringslivsstruktur ................................................................................................................. 8"
RSA Alingsås 2015.pdf,55610,1000,True," 
 
 
Risk och 
Sårbarhetsanalys 
Alingsås kommun 
2015-2018 
Antagen av Kommunstyrelsen den XXXX-XX-XX 
  


 2015-08-20  
Sida 2 av 29 
 
  

 2015-08-20  
Sida 3 av 29 
 
Innehållsförteckning 
Sammanfattning .................................................................................................................................. 4 
Inledning .............................................................................................................................................. 5 
1. Beskrivning av kommunen och dess geografiska område .............................................................. 6 
2. Beskrivning av arbetsprocess och metod ........................................................................................ 8 
3. Identifierad samhällsviktig verksamhet inom kommunens geografiska område ........................... 9 
Viktig samhällsfunktion ................................................................................................................."
RSA Alingsås 2019.pdf,47926,1000,True," 
   
 
 
Risk- och sårbarhetsanalys 
Alingsås kommun 
2019-2022 
Antagen av kommunfullmäktige den 14 oktober 2019, § 183 
 
 

 
2 
 
 
Innehållsförteckning 
SAMMANFATTNING ................................................................................................................................... 3 
INLEDNING .................................................................................................................................................. 4 
BESKRIVNING AV KOMMUNEN OCH DESS GEOGRAFISKA OMRÅDE ............................................... 5 
ARBETSPROCESS OCH METOD ............................................................................................................... 8 
SAMHÄLLSVIKTIG VERKSAMHET INOM KOMMUNENS GEOGRAFISKA OMRÅDE ........................... 9 
KRITISKA BEROENDEN FÖR KOMMUNENS SAMHÄLLSVIKTIGA VERKSAMHET ...........................12 
DISPONIBLA RESURSER ......................................................................................."
RSA Alingsås 2023.pdf,51552,1000,True," 
Risk- och 
sårbarhetsanalys 
Alingsås kommun 2023-2026 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
Typ av styrdokument: Rapport 
Beslutande instans: Kommunstyrelsen 
Datum för beslut: 2023-08-21 §130 
Diarienummer: 2023.267 KS 
Gäller för: Kommunövergripande 
Giltighetstid: 2023-2026 
Revideras senast: Inför nästa mandatperiod 
Dokumentansvarig: Informationssäkerhetsansvarig 
 
 
 
 
 
 
alingsas.se 


2 
 
 
 
Innehåll 
 
Inledning ............................................................................................................................................................................... 4 
Redovisning av risk- och sårbarhetsanalysen ....................................................................................................................... 5 
1. Beskrivning av kommunen och dess geografiska område ....................................................................................... 5 
1.1 Kommunens ansvarsområde och uppgifter .."
RSA Alvesta 2015.pdf,88385,1000,True," 
 
 
 
 
 
Risk och sårbarhetsanalys  
2015-2018 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 

 
Risk- och sårbarhetsanalys 2015 2 2025-11-20 
 
Innehållsförteckning 
 
 
1 Alvesta kommun .................................................................................................................. 3 
2 Arbetsprocess och metod ..................................................................................................... 3 
3 Samhällsviktig verksamhet inom kommunens geografiska område .................................... 5 
4 Identifierade och värderade risker, sårbarheter och kritiska beroenden ............................... 7 
4.1 Risker och orsakssamband ........................................................................................... 7 
4.1.1 Drivande ............................................................................................................... 8 
4.1.2 Orsaker .............................................................................................."
RSA Alvesta 2019.pdf,55534,1000,True,"1 
 
 
  
 
RISK- OCH 
SÅRBARHETSANALYS 

2 
 
 
 
ALVESTA KOMMUNS RISK- OCH 
SÅRBARHETSANALYS 2019-2022 
Detta dokument är framtaget inom ramen för länsgemensamt RSA-arbete 2017–2019 
Senast reviderad 2019-10-23 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 Per Gustafson 
Beredskaps- och säkerhetsstrateg 
Säkerhetsskyddschef 
Camilla Holmqvist 
Kommunchef 

3 
 
Sammanfattning 
Alvesta kommun har tagit fram en risk- och sårbarhetsanalys för kommunen och dess 
geografiska område. Kommunen ska genomföra risk- och sårbarhetsanalyser för att stärka sin 
egen och samhällets krisberedskap. Inför årets redovisning har ett länsgemensamt arbete 
tillsammans med Länsstyrelsen i Kronobergs län, beredskapssamordnarna i länets övriga 
kommuner samt Region Kronoberg genomförts i syfte att arbeta fram ett mer enhetligt 
arbetssätt. Samma aktörer har även tillsammans bedömt de hot och risker som identifieras i 
analysen.  
 
De hot och risker som bedöms ge störst konsekvenser för kommunen är framförallt stora "
RSA Alvesta 2023.pdf,63666,1000,True," 
2 
Alvesta kommun 
Risk- och sårbarhetsanalys 
2023-2027 
       
Beslutat av:  Kommunstyrelsen, § 196/2023 
Beslutsdatum: 2023-11-28.  
Gäller från och med: 2023-11-28 
Giltighetstid:  2023-2027 
Dokumentet gäller för: Nämnder och bolag   
Ansvarig för uppföljning:  Säkerhets- och beredskapssamordnare 
Diarienummer:  KS 2023-00309 
 
Alvesta kommun Postadress: Alvesta kommun, 342 80 Alvesta · Besök: Centralplan 1, 342 80 Alvesta · Tel: 0472-150 00 
E-post: kommunen@alvesta.se · Webb: alvesta.se 
  

2 
 
Datum: Dnr:          
2023-11-28 KS 2023-00309  
 
 
 
 
 
Alvesta kommun Postadress: Alvesta kommun, 342 80 Alvesta · Besök: Centralplan 1, 342 80 Alvesta · Tel: 0472-150 00 
E-post: kommunen@alvesta.se · Webb: alvesta.se  
Innehållsförteckning 
1. Inledning ....................................................................................................................... 3 
2. Beskrivning av kommunen och dess geografiska område ............................................... 4"
