,doc_id,municipality,year,category
0,RSA 2016 Sala.pdf,2016,Sala,risk
1,RSA 2016 Sala.pdf,2016,Sala,risk
2,RSA 2016 Sala.pdf,2016,Sala,risk
3,RSA 2016 Sala.pdf,2016,Sala,risk
4,RSA 2016 Sala.pdf,2016,Sala,risk
5,RSA 2016 Sala.pdf,2016,Sala,resilience
6,RSA 2016 Sala.pdf,2016,Sala,risk
7,RSA 2016 Sala.pdf,2016,Sala,risk
8,RSA 2016 Sala.pdf,2016,Sala,risk
9,RSA 2016 Sala.pdf,2016,Sala,risk
10,RSA 2016 Sala.pdf,2016,Sala,risk
11,RSA 2016 Sala.pdf,2016,Sala,risk
12,RSA 2016 Sala.pdf,2016,Sala,risk
13,RSA 2016 Sala.pdf,2016,Sala,risk
14,RSA 2016 Sala.pdf,2016,Sala,resilience
15,RSA 2016 Sala.pdf,2016,Sala,risk
16,RSA 2016 Sala.pdf,2016,Sala,risk
17,RSA 2016 Sala.pdf,2016,Sala,risk
18,RSA 2016 Sala.pdf,2016,Sala,risk
19,RSA 2016 Sala.pdf,2016,Sala,risk
20,RSA 2016 Sala.pdf,2016,Sala,risk
21,RSA 2016 Sala.pdf,2016,Sala,risk
22,RSA 2016 Sala.pdf,2016,Sala,resilience
23,RSA 2016 Sala.pdf,2016,Sala,risk
24,RSA 2016 Sala.pdf,2016,Sala,risk
25,RSA 2016 Sala.pdf,2016,Sala,risk
26,RSA 2016 Sala.pdf,2016,Sala,risk
27,RSA 2016 Sala.pdf,2016,Sala,risk
28,RSA 2016 Sala.pdf,2016,Sala,risk
29,RSA 2016 Sala.pdf,2016,Sala,risk
30,RSA 2016 Sala.pdf,2016,Sala,risk
31,RSA 2016 Sala.pdf,2016,Sala,risk
32,RSA 2016 Sala.pdf,2016,Sala,risk
33,RSA 2016 Sala.pdf,2016,Sala,risk
34,RSA 2016 Sala.pdf,2016,Sala,risk
35,RSA 2016 Sala.pdf,2016,Sala,risk
36,RSA 2016 Sala.pdf,2016,Sala,risk
37,RSA 2016 Sala.pdf,2016,Sala,risk
38,RSA 2016 Sala.pdf,2016,Sala,risk
39,RSA 2016 Sala.pdf,2016,Sala,risk
40,RSA 2016 Sala.pdf,2016,Sala,risk
41,RSA 2016 Sala.pdf,2016,Sala,risk
42,RSA 2016 Sala.pdf,2016,Sala,risk
43,RSA 2016 Sala.pdf,2016,Sala,risk
44,RSA 2016 Sala.pdf,2016,Sala,risk
45,RSA 2016 Sala.pdf,2016,Sala,risk
46,RSA 2016 Sala.pdf,2016,Sala,risk
47,RSA 2016 Sala.pdf,2016,Sala,risk
48,RSA 2016 Sala.pdf,2016,Sala,risk
49,RSA 2016 Sala.pdf,2016,Sala,risk
50,RSA 2016 Sala.pdf,2016,Sala,risk
51,RSA 2016 Sala.pdf,2016,Sala,risk
52,RSA 2016 Sala.pdf,2016,Sala,risk
53,RSA 2016 Sala.pdf,2016,Sala,risk
54,RSA 2016 Sala.pdf,2016,Sala,risk
55,RSA 2016 Sala.pdf,2016,Sala,risk
56,RSA 2016 Sala.pdf,2016,Sala,risk
57,RSA 2016 Sala.pdf,2016,Sala,risk
58,RSA 2016 Sala.pdf,2016,Sala,risk
59,RSA 2016 Sala.pdf,2016,Sala,risk
60,RSA 2016 Sala.pdf,2016,Sala,risk
61,RSA 2016 Sala.pdf,2016,Sala,risk
62,RSA 2016 Sala.pdf,2016,Sala,risk
63,RSA 2016 Sala.pdf,2016,Sala,risk
64,RSA 2016 Sala.pdf,2016,Sala,risk
65,RSA 2016 Sala.pdf,2016,Sala,risk
66,RSA 2016 Sala.pdf,2016,Sala,risk
67,RSA 2016 Sala.pdf,2016,Sala,risk
68,RSA 2016 Sala.pdf,2016,Sala,resilience
69,RSA 2016 Sala.pdf,2016,Sala,risk
70,RSA 2016 Sala.pdf,2016,Sala,risk
71,RSA 2016 Sala.pdf,2016,Sala,risk
72,RSA 2016 Sala.pdf,2016,Sala,risk
73,RSA 2016 Sala.pdf,2016,Sala,risk
74,RSA 2016 Sala.pdf,2016,Sala,risk
75,RSA 2016 Sala.pdf,2016,Sala,risk
76,RSA 2016 Sala.pdf,2016,Sala,resilience
77,RSA 2016 Sala.pdf,2016,Sala,risk
78,RSA 2016 Sala.pdf,2016,Sala,risk
79,RSA 2016 Sala.pdf,2016,Sala,risk
80,RSA 2016 Sala.pdf,2016,Sala,risk
81,RSA 2016 Sala.pdf,2016,Sala,risk
82,RSA 2016 Sala.pdf,2016,Sala,risk
83,RSA 2023 Sala.pdf,2023,Sala,risk
84,RSA 2023 Sala.pdf,2023,Sala,risk
85,RSA 2023 Sala.pdf,2023,Sala,risk
86,RSA 2023 Sala.pdf,2023,Sala,risk
87,RSA 2023 Sala.pdf,2023,Sala,risk
88,RSA 2023 Sala.pdf,2023,Sala,risk
89,RSA 2023 Sala.pdf,2023,Sala,risk
90,RSA 2023 Sala.pdf,2023,Sala,risk
91,RSA 2023 Sala.pdf,2023,Sala,resilience
92,RSA 2023 Sala.pdf,2023,Sala,risk
93,RSA 2023 Sala.pdf,2023,Sala,risk
94,RSA 2023 Sala.pdf,2023,Sala,risk
95,RSA 2023 Sala.pdf,2023,Sala,resilience
96,RSA 2023 Sala.pdf,2023,Sala,risk
97,RSA 2023 Sala.pdf,2023,Sala,resilience
98,RSA 2023 Sala.pdf,2023,Sala,risk
99,RSA 2023 Sala.pdf,2023,Sala,resilience
100,RSA 2023 Sala.pdf,2023,Sala,risk
101,RSA 2023 Sala.pdf,2023,Sala,risk
102,RSA 2023 Sala.pdf,2023,Sala,resilience
103,RSA 2023 Sala.pdf,2023,Sala,risk
104,RSA 2023 Sala.pdf,2023,Sala,risk
105,RSA 2023 Sala.pdf,2023,Sala,risk
106,RSA 2023 Sala.pdf,2023,Sala,risk
107,RSA 2023 Sala.pdf,2023,Sala,resilience
108,RSA 2023 Sala.pdf,2023,Sala,risk
109,RSA 2023 Sala.pdf,2023,Sala,resilience
110,RSA 2023 Sala.pdf,2023,Sala,risk
111,RSA 2023 Sala.pdf,2023,Sala,resilience
112,RSA 2023 Sala.pdf,2023,Sala,risk
113,RSA 2023 Sala.pdf,2023,Sala,risk
114,RSA 2023 Sala.pdf,2023,Sala,risk
115,RSA 2023 Sala.pdf,2023,Sala,risk
116,RSA 2023 Sala.pdf,2023,Sala,resilience
117,RSA 2023 Sala.pdf,2023,Sala,resilience
118,RSA 2023 Sala.pdf,2023,Sala,risk
119,RSA 2023 Sala.pdf,2023,Sala,risk
120,RSA 2023 Sala.pdf,2023,Sala,risk
121,RSA 2023 Sala.pdf,2023,Sala,risk
122,RSA 2023 Sala.pdf,2023,Sala,risk
123,RSA 2023 Sala.pdf,2023,Sala,risk
124,RSA 2023 Sala.pdf,2023,Sala,resilience
125,RSA 2023 Sala.pdf,2023,Sala,risk
126,RSA 2023 Sala.pdf,2023,Sala,resilience
127,RSA 2023 Sala.pdf,2023,Sala,risk
128,RSA 2023 Sala.pdf,2023,Sala,risk
129,RSA 2023 Sala.pdf,2023,Sala,risk
130,RSA 2023 Sala.pdf,2023,Sala,risk
131,RSA 2023 Sala.pdf,2023,Sala,risk
132,RSA 2023 Sala.pdf,2023,Sala,risk
133,RSA 2023 Sala.pdf,2023,Sala,risk
134,RSA 2023 Sala.pdf,2023,Sala,risk
135,RSA 2023 Sala.pdf,2023,Sala,risk
136,RSA 2023 Sala.pdf,2023,Sala,risk
137,RSA 2023 Sala.pdf,2023,Sala,risk
138,RSA 2023 Sala.pdf,2023,Sala,risk
139,RSA 2023 Sala.pdf,2023,Sala,risk
140,RSA 2023 Sala.pdf,2023,Sala,risk
141,RSA 2023 Sala.pdf,2023,Sala,resilience
142,RSA 2023 Sala.pdf,2023,Sala,risk
143,RSA 2023 Sala.pdf,2023,Sala,risk
144,RSA 2023 Sala.pdf,2023,Sala,risk
145,RSA 2023 Sala.pdf,2023,Sala,risk
146,RSA 2023 Sala.pdf,2023,Sala,risk
147,RSA 2023 Sala.pdf,2023,Sala,resilience
148,RSA 2023 Sala.pdf,2023,Sala,risk
149,RSA 2023 Sala.pdf,2023,Sala,risk
150,RSA 2023 Sala.pdf,2023,Sala,resilience
151,RSA 2023 Sala.pdf,2023,Sala,risk
152,RSA 2023 Sala.pdf,2023,Sala,risk
153,RSA 2023 Sala.pdf,2023,Sala,risk
154,RSA 2023 Sala.pdf,2023,Sala,risk
